rx,ry,rz,sa,sb,sc
-0.5,0,0,0,-0.242535625036333,0.970142500145332
-0.375,0,0,0,-0.184288535050185,0.982872186934322
-0.25,0,0,0,-0.124034734589208,0.992277876713668
-0.125,0,0,0,-0.0623782861551806,0.998052578482889
0.125,0,0,0,0.0623782861551805,0.998052578482889
0.25,0,0,0,0.124034734589209,0.992277876713668
0.375,0,0,0,0.184288535050185,0.982872186934322
0.5,0,0,0,0.242535625036333,0.970142500145332
